"","PEVONEDISTAT"
"ACH-000001","resistant"
"ACH-000002","sensitive"
"ACH-000004","sensitive"
"ACH-000006","sensitive"
"ACH-000007","resistant"
"ACH-000009","resistant"
"ACH-000012","resistant"
"ACH-000015","resistant"
"ACH-000019","sensitive"
"ACH-000021","resistant"
"ACH-000035","resistant"
"ACH-000038","resistant"
"ACH-000040","sensitive"
"ACH-000042","sensitive"
"ACH-000050","resistant"
"ACH-000052","sensitive"
"ACH-000053","sensitive"
"ACH-000054","sensitive"
"ACH-000060","sensitive"
"ACH-000061","resistant"
"ACH-000065","sensitive"
"ACH-000070","sensitive"
"ACH-000072","sensitive"
"ACH-000073","sensitive"
"ACH-000074","sensitive"
"ACH-000075","resistant"
"ACH-000081","sensitive"
"ACH-000082","resistant"
"ACH-000087","sensitive"
"ACH-000091","resistant"
"ACH-000092","resistant"
"ACH-000094","resistant"
"ACH-000096","sensitive"
"ACH-000098","sensitive"
"ACH-000105","sensitive"
"ACH-000106","sensitive"
"ACH-000111","resistant"
"ACH-000113","sensitive"
"ACH-000117","resistant"
"ACH-000120","resistant"
"ACH-000124","resistant"
"ACH-000129","sensitive"
"ACH-000135","sensitive"
"ACH-000137","sensitive"
"ACH-000139","sensitive"
"ACH-000142","sensitive"
"ACH-000144","resistant"
"ACH-000145","sensitive"
"ACH-000146","sensitive"
"ACH-000147","resistant"
"ACH-000148","resistant"
"ACH-000149","resistant"
"ACH-000151","sensitive"
"ACH-000153","resistant"
"ACH-000155","resistant"
"ACH-000161","resistant"
"ACH-000162","sensitive"
"ACH-000168","sensitive"
"ACH-000169","resistant"
"ACH-000174","sensitive"
"ACH-000176","sensitive"
"ACH-000178","resistant"
"ACH-000181","resistant"
"ACH-000183","sensitive"
"ACH-000187","sensitive"
"ACH-000188","resistant"
"ACH-000189","resistant"
"ACH-000190","resistant"
"ACH-000191","sensitive"
"ACH-000192","resistant"
"ACH-000198","sensitive"
"ACH-000200","sensitive"
"ACH-000201","sensitive"
"ACH-000207","sensitive"
"ACH-000217","sensitive"
"ACH-000218","sensitive"
"ACH-000219","sensitive"
"ACH-000222","resistant"
"ACH-000226","sensitive"
"ACH-000231","resistant"
"ACH-000233","sensitive"
"ACH-000236","resistant"
"ACH-000242","sensitive"
"ACH-000243","resistant"
"ACH-000244","resistant"
"ACH-000245","sensitive"
"ACH-000247","resistant"
"ACH-000248","resistant"
"ACH-000249","resistant"
"ACH-000250","sensitive"
"ACH-000258","sensitive"
"ACH-000259","sensitive"
"ACH-000263","sensitive"
"ACH-000264","sensitive"
"ACH-000265","sensitive"
"ACH-000267","sensitive"
"ACH-000269","resistant"
"ACH-000270","resistant"
"ACH-000271","sensitive"
"ACH-000273","sensitive"
"ACH-000276","resistant"
"ACH-000277","resistant"
"ACH-000282","resistant"
"ACH-000287","sensitive"
"ACH-000288","resistant"
"ACH-000290","sensitive"
"ACH-000291","sensitive"
"ACH-000294","sensitive"
"ACH-000295","sensitive"
"ACH-000301","resistant"
"ACH-000303","sensitive"
"ACH-000304","resistant"
"ACH-000305","sensitive"
"ACH-000308","resistant"
"ACH-000311","sensitive"
"ACH-000315","resistant"
"ACH-000319","sensitive"
"ACH-000320","sensitive"
"ACH-000322","resistant"
"ACH-000326","sensitive"
"ACH-000327","resistant"
"ACH-000329","resistant"
"ACH-000330","resistant"
"ACH-000332","sensitive"
"ACH-000335","sensitive"
"ACH-000336","sensitive"
"ACH-000337","resistant"
"ACH-000341","resistant"
"ACH-000343","resistant"
"ACH-000346","sensitive"
"ACH-000348","sensitive"
"ACH-000349","resistant"
"ACH-000350","resistant"
"ACH-000351","resistant"
"ACH-000352","resistant"
"ACH-000353","resistant"
"ACH-000356","sensitive"
"ACH-000358","sensitive"
"ACH-000359","sensitive"
"ACH-000360","resistant"
"ACH-000361","sensitive"
"ACH-000362","sensitive"
"ACH-000365","sensitive"
"ACH-000366","sensitive"
"ACH-000367","resistant"
"ACH-000369","sensitive"
"ACH-000371","resistant"
"ACH-000372","sensitive"
"ACH-000373","sensitive"
"ACH-000374","resistant"
"ACH-000375","resistant"
"ACH-000378","resistant"
"ACH-000381","resistant"
"ACH-000383","resistant"
"ACH-000384","sensitive"
"ACH-000389","sensitive"
"ACH-000391","sensitive"
"ACH-000394","resistant"
"ACH-000395","resistant"
"ACH-000400","sensitive"
"ACH-000401","sensitive"
"ACH-000403","resistant"
"ACH-000408","sensitive"
"ACH-000410","resistant"
"ACH-000416","sensitive"
"ACH-000417","resistant"
"ACH-000420","resistant"
"ACH-000421","resistant"
"ACH-000427","resistant"
"ACH-000428","sensitive"
"ACH-000429","resistant"
"ACH-000430","sensitive"
"ACH-000432","sensitive"
"ACH-000433","resistant"
"ACH-000434","resistant"
"ACH-000437","resistant"
"ACH-000438","resistant"
"ACH-000439","resistant"
"ACH-000440","sensitive"
"ACH-000441","sensitive"
"ACH-000442","sensitive"
"ACH-000443","resistant"
"ACH-000447","resistant"
"ACH-000449","sensitive"
"ACH-000450","sensitive"
"ACH-000452","resistant"
"ACH-000456","sensitive"
"ACH-000457","sensitive"
"ACH-000464","resistant"
"ACH-000469","sensitive"
"ACH-000470","resistant"
"ACH-000472","sensitive"
"ACH-000475","resistant"
"ACH-000478","resistant"
"ACH-000481","sensitive"
"ACH-000482","sensitive"
"ACH-000483","sensitive"
"ACH-000488","sensitive"
"ACH-000489","resistant"
"ACH-000491","resistant"
"ACH-000496","resistant"
"ACH-000501","resistant"
"ACH-000505","resistant"
"ACH-000514","resistant"
"ACH-000516","resistant"
"ACH-000518","sensitive"
"ACH-000527","resistant"
"ACH-000530","sensitive"
"ACH-000532","resistant"
"ACH-000534","sensitive"
"ACH-000535","sensitive"
"ACH-000538","sensitive"
"ACH-000544","sensitive"
"ACH-000545","sensitive"
"ACH-000546","sensitive"
"ACH-000547","resistant"
"ACH-000548","sensitive"
"ACH-000551","sensitive"
"ACH-000552","sensitive"
"ACH-000555","sensitive"
"ACH-000560","sensitive"
"ACH-000561","sensitive"
"ACH-000562","sensitive"
"ACH-000563","sensitive"
"ACH-000565","resistant"
"ACH-000567","sensitive"
"ACH-000568","resistant"
"ACH-000570","sensitive"
"ACH-000571","sensitive"
"ACH-000574","resistant"
"ACH-000579","resistant"
"ACH-000580","resistant"
"ACH-000583","resistant"
"ACH-000584","resistant"
"ACH-000585","sensitive"
"ACH-000586","resistant"
"ACH-000587","resistant"
"ACH-000595","sensitive"
"ACH-000596","resistant"
"ACH-000599","resistant"
"ACH-000601","sensitive"
"ACH-000607","sensitive"
"ACH-000610","sensitive"
"ACH-000611","sensitive"
"ACH-000613","sensitive"
"ACH-000616","resistant"
"ACH-000620","resistant"
"ACH-000621","sensitive"
"ACH-000622","resistant"
"ACH-000624","sensitive"
"ACH-000625","sensitive"
"ACH-000627","sensitive"
"ACH-000628","resistant"
"ACH-000631","resistant"
"ACH-000633","sensitive"
"ACH-000636","sensitive"
"ACH-000638","resistant"
"ACH-000641","sensitive"
"ACH-000643","resistant"
"ACH-000647","sensitive"
"ACH-000648","resistant"
"ACH-000649","sensitive"
"ACH-000651","sensitive"
"ACH-000653","sensitive"
"ACH-000655","resistant"
"ACH-000656","sensitive"
"ACH-000662","sensitive"
"ACH-000665","resistant"
"ACH-000666","resistant"
"ACH-000667","sensitive"
"ACH-000668","sensitive"
"ACH-000670","sensitive"
"ACH-000672","resistant"
"ACH-000674","resistant"
"ACH-000677","sensitive"
"ACH-000678","resistant"
"ACH-000679","resistant"
"ACH-000680","resistant"
"ACH-000681","sensitive"
"ACH-000684","resistant"
"ACH-000689","resistant"
"ACH-000691","resistant"
"ACH-000694","resistant"
"ACH-000696","sensitive"
"ACH-000697","sensitive"
"ACH-000698","resistant"
"ACH-000702","sensitive"
"ACH-000703","resistant"
"ACH-000704","sensitive"
"ACH-000706","resistant"
"ACH-000714","sensitive"
"ACH-000717","resistant"
"ACH-000720","resistant"
"ACH-000722","resistant"
"ACH-000724","resistant"
"ACH-000729","sensitive"
"ACH-000738","sensitive"
"ACH-000744","sensitive"
"ACH-000748","resistant"
"ACH-000749","resistant"
"ACH-000750","sensitive"
"ACH-000751","sensitive"
"ACH-000752","resistant"
"ACH-000754","sensitive"
"ACH-000756","sensitive"
"ACH-000769","resistant"
"ACH-000770","sensitive"
"ACH-000775","resistant"
"ACH-000776","sensitive"
"ACH-000778","sensitive"
"ACH-000780","resistant"
"ACH-000781","sensitive"
"ACH-000784","resistant"
"ACH-000786","sensitive"
"ACH-000787","sensitive"
"ACH-000788","sensitive"
"ACH-000790","resistant"
"ACH-000794","sensitive"
"ACH-000798","resistant"
"ACH-000800","resistant"
"ACH-000802","sensitive"
"ACH-000804","resistant"
"ACH-000806","sensitive"
"ACH-000809","resistant"
"ACH-000810","sensitive"
"ACH-000811","resistant"
"ACH-000814","sensitive"
"ACH-000816","resistant"
"ACH-000817","sensitive"
"ACH-000818","resistant"
"ACH-000821","resistant"
"ACH-000824","sensitive"
"ACH-000828","resistant"
"ACH-000830","resistant"
"ACH-000832","sensitive"
"ACH-000835","sensitive"
"ACH-000840","resistant"
"ACH-000841","resistant"
"ACH-000843","sensitive"
"ACH-000847","sensitive"
"ACH-000848","resistant"
"ACH-000849","sensitive"
"ACH-000853","resistant"
"ACH-000855","sensitive"
"ACH-000858","sensitive"
"ACH-000863","resistant"
"ACH-000865","sensitive"
"ACH-000866","sensitive"
"ACH-000867","sensitive"
"ACH-000869","resistant"
"ACH-000873","sensitive"
"ACH-000874","sensitive"
"ACH-000875","resistant"
"ACH-000876","resistant"
"ACH-000878","sensitive"
"ACH-000881","resistant"
"ACH-000882","sensitive"
"ACH-000885","sensitive"
"ACH-000886","resistant"
"ACH-000892","resistant"
"ACH-000893","sensitive"
"ACH-000894","resistant"
"ACH-000895","sensitive"
"ACH-000900","sensitive"
"ACH-000902","resistant"
"ACH-000903","sensitive"
"ACH-000905","sensitive"
"ACH-000906","sensitive"
"ACH-000910","resistant"
"ACH-000911","sensitive"
"ACH-000913","sensitive"
"ACH-000914","resistant"
"ACH-000915","sensitive"
"ACH-000917","resistant"
"ACH-000919","sensitive"
"ACH-000920","sensitive"
"ACH-000922","sensitive"
"ACH-000924","resistant"
"ACH-000930","sensitive"
"ACH-000932","sensitive"
"ACH-000934","sensitive"
"ACH-000935","sensitive"
"ACH-000936","resistant"
"ACH-000938","sensitive"
"ACH-000939","sensitive"
"ACH-000940","sensitive"
"ACH-000943","sensitive"
"ACH-000945","sensitive"
"ACH-000947","sensitive"
"ACH-000948","sensitive"
"ACH-000949","sensitive"
"ACH-000950","resistant"
"ACH-000951","resistant"
"ACH-000957","sensitive"
"ACH-000960","sensitive"
"ACH-000962","sensitive"
"ACH-000965","sensitive"
"ACH-000966","resistant"
"ACH-000968","resistant"
"ACH-000970","sensitive"
"ACH-000971","sensitive"
"ACH-000974","sensitive"
"ACH-000976","resistant"
"ACH-000978","sensitive"
