iter	Logloss
0	0.6693088794
1	0.6443137233
2	0.6298982773
3	0.6123802756
4	0.5939152622
5	0.5743187846
6	0.5611060675
7	0.5317603773
8	0.5151418969
9	0.5006065567
10	0.4890472483
11	0.4725315123
12	0.4554494318
13	0.4448650521
14	0.4320201523
15	0.4196446535
16	0.4116768021
17	0.4013644175
18	0.3904017022
19	0.3833325785
20	0.3714337161
21	0.3596607402
22	0.348735841
23	0.3378654946
24	0.3308233265
25	0.3243942088
26	0.3161350874
27	0.3021989754
28	0.2948215864
29	0.289328862
30	0.2833268657
31	0.2746186301
32	0.2656879939
33	0.2603971187
34	0.252571745
35	0.2478448914
36	0.2423853399
37	0.2347381387
38	0.2299953101
39	0.2240748801
40	0.2150602415
41	0.2107489257
42	0.2060936882
43	0.2022122397
44	0.1995560594
45	0.1951175147
46	0.1905604235
47	0.1881091699
48	0.185607877
49	0.1784291193
50	0.1744289418
51	0.1716990501
52	0.1680562382
53	0.1630755633
54	0.159095268
