iter	Passed	Remaining
0	150	74920
1	154	38405
2	157	26040
3	161	19982
4	164	16303
5	167	13791
6	170	12016
7	173	10663
8	176	9633
9	179	8780
10	182	8102
11	185	7529
12	188	7051
13	191	6641
14	194	6293
15	197	5977
16	200	5702
17	203	5448
18	206	5229
19	209	5024
20	212	4844
21	215	4675
22	218	4525
23	220	4382
24	224	4258
25	226	4137
26	230	4029
27	232	3926
28	235	3832
29	238	3741
30	241	3658
31	244	3578
32	247	3504
33	250	3431
34	253	3368
35	256	3306
36	259	3248
37	262	3191
38	265	3139
39	268	3086
40	271	3036
41	274	2989
42	277	2945
43	280	2902
44	283	2866
45	286	2830
46	290	2795
47	292	2758
48	295	2722
49	298	2688
50	301	2654
51	304	2622
52	307	2592
53	310	2562
54	313	2535
