iter	Logloss
0	0.6596383114
1	0.6358320765
2	0.6084191645
3	0.5806587136
4	0.5606207375
5	0.5409983612
6	0.5172914551
7	0.5019999943
8	0.4874201014
9	0.4690999841
10	0.4529411986
11	0.4413099141
12	0.4197360787
13	0.407092452
14	0.3961735682
15	0.3866472739
16	0.377704747
17	0.3705127952
18	0.360100856
19	0.352078285
20	0.3464391523
21	0.3386338905
22	0.3274078409
23	0.3158830409
24	0.3102885302
25	0.3029736775
26	0.2941086228
27	0.2881282202
28	0.2814329417
29	0.2765210442
30	0.2689499919
31	0.2623516376
32	0.2559017086
33	0.248463513
34	0.2423951423
35	0.2377320177
36	0.2295225023
37	0.2249522585
38	0.2197094943
39	0.2145250497
40	0.2099445504
41	0.2053717063
42	0.201120706
43	0.1962843198
44	0.1920522555
45	0.1866886517
46	0.1823721803
47	0.1779238584
48	0.1731033929
49	0.1710638515
50	0.1680651977
51	0.164467492
52	0.1602723836
53	0.1569965469
54	0.1522521983
55	0.148334887
56	0.1452243922
57	0.1431029565
58	0.1413218233
59	0.1377820781
60	0.1331270216
61	0.1302043719
