iter	Passed	Remaining
0	149	74522
1	152	37898
2	154	25649
3	158	19600
4	160	15917
5	163	13466
6	166	11716
7	169	10407
8	172	9395
9	175	8585
10	177	7912
11	180	7345
12	183	6865
13	185	6451
14	188	6097
15	191	5792
16	194	5525
17	197	5281
18	199	5061
19	202	4861
20	205	4679
21	207	4515
22	210	4363
23	212	4224
24	215	4098
25	218	3982
26	221	3872
27	223	3770
28	226	3677
29	228	3587
30	231	3504
31	234	3425
32	236	3351
33	239	3282
34	242	3217
35	244	3155
36	247	3096
37	250	3041
38	252	2987
39	255	2934
40	257	2885
41	260	2838
42	262	2794
43	265	2751
44	268	2711
45	270	2673
46	273	2636
47	276	2599
48	278	2565
49	281	2532
50	283	2499
51	286	2468
52	289	2438
53	291	2411
54	294	2382
55	296	2354
56	299	2328
57	302	2302
58	304	2278
59	307	2255
60	310	2233
61	312	2210
